Date,Bitcoin Price
2020-01-01,296.9
2020-01-08,3655.95
2020-01-15,298.64
2020-01-22,4035.56
2020-01-29,1049.15
2020-02-05,35.76
2020-02-12,286.82
2020-02-19,1242.74
2020-02-01,545.34
2020-02-26,4927.41
2020-03-04,31.2
2020-03-11,4802.32
2020-03-01,1435.87
2020-03-18,1749.36
2020-03-25,1558.42
2020-04-01,1230.67
2020-04-08,4273.48
2020-04-15,3152.48
2020-04-22,3758.53
2020-04-29,4897.31
2020-05-01,1285.53
2020-05-06,3254.97
2020-05-13,573.71
2020-05-20,22.19
2020-05-27,989.76
2020-06-03,4406.55
2020-06-10,1790.03
2020-06-17,4598.81
2020-06-01,3477.82
2020-06-24,239.69
2020-07-01,3144.85
2020-07-08,2895.05
2020-07-15,4272.84
2020-07-22,3975.76
2020-07-29,4178.14
2020-08-05,2204.97
2020-08-01,3812.01
2020-08-12,1143.71
2020-08-19,3144.48
2020-08-26,591.97
2020-09-01,3777.04
2020-09-02,2364.72
2020-09-09,2878.98
2020-09-16,1768.3
2020-09-23,1468.51
2020-09-30,3221.6
2020-10-07,3246.44
2020-10-14,4564.94
2020-10-01,4946.42
2020-10-21,1375.09
2020-10-28,4747.53
2020-11-04,707.95
2020-11-01,885.87
2020-11-11,2339.83
2020-11-18,4796.17
2020-11-25,2811.01
2020-12-01,2777.02
2020-12-02,4916.6
2020-12-09,486.61
2020-12-16,2426.93
2020-12-23,1548.53
2020-12-30,146.38
2021-01-06,3202.97
2021-01-13,2635.79
2021-01-01,1361.41
2021-01-20,908.45
2021-01-27,1790.87
2021-02-03,2033.34
2021-02-01,3891.98
2021-02-10,800.04
2021-02-17,2077.16
2021-02-24,3715.94
2021-03-01,1177.47
2021-03-03,2798.83
2021-03-10,2367.86
2021-03-17,850.62
2021-03-24,730.95
2021-03-31,118.74
2021-04-07,2996.18
2021-04-14,3738.43
2021-04-01,1766.04
2021-04-21,3640.02
2021-04-28,1568.18
2021-05-05,1116.57
2021-05-01,2580.08
2021-05-12,3386.53
2021-05-19,465.81
2021-05-26,2528.49
2021-06-01,814.88
2021-06-02,4653.22
2021-06-09,2644.06
2021-06-16,4178.61
2021-06-23,2677.86
2021-06-30,2776.86
2021-07-07,2298.69
2021-07-14,1017.52
2021-07-01,2798.1
2021-07-21,1225.54
2021-07-28,4083.22
2021-08-04,4849.61
