Date,Cardano Price
2020-01-01,4371.0
2020-01-08,3923.83
2020-01-15,1722.61
2020-01-22,1777.29
2020-01-29,4698.05
2020-02-05,4565.77
2020-02-12,669.67
2020-02-19,720.3
2020-02-01,2991.62
2020-02-26,4227.9
2020-03-04,3762.71
2020-03-11,2570.61
2020-03-01,4167.5
2020-03-18,1667.41
2020-03-25,2572.65
2020-04-01,1995.42
2020-04-08,1229.49
2020-04-15,22.58
2020-04-22,3990.23
2020-04-29,820.14
2020-05-01,1652.62
2020-05-06,618.04
2020-05-13,4367.13
2020-05-20,1009.98
2020-05-27,4852.5
2020-06-03,1320.65
2020-06-10,1583.68
2020-06-17,4936.05
2020-06-01,4776.26
2020-06-24,1069.19
2020-07-01,2429.13
2020-07-08,1294.83
2020-07-15,1207.48
2020-07-22,2962.9
2020-07-29,2889.62
2020-08-05,2818.81
2020-08-01,4100.37
2020-08-12,2180.29
2020-08-19,997.8
2020-08-26,1829.61
2020-09-01,1104.68
2020-09-02,3875.14
2020-09-09,2750.73
2020-09-16,3771.54
2020-09-23,4901.12
2020-09-30,2373.72
2020-10-07,662.97
2020-10-14,4465.4
2020-10-01,2729.96
2020-10-21,1813.66
2020-10-28,3937.47
2020-11-04,850.86
2020-11-01,2899.35
2020-11-11,3588.85
2020-11-18,3746.43
2020-11-25,926.96
2020-12-01,2391.77
2020-12-02,2549.57
2020-12-09,213.56
2020-12-16,1503.11
2020-12-23,3753.41
2020-12-30,3159.4
2021-01-06,2043.08
2021-01-13,3755.76
2021-01-01,445.21
2021-01-20,3402.62
2021-01-27,1720.82
2021-02-03,1580.59
2021-02-01,2794.01
2021-02-10,3337.33
2021-02-17,3890.37
2021-02-24,3362.65
2021-03-01,1599.61
2021-03-03,3150.14
2021-03-10,4872.41
2021-03-17,3282.52
2021-03-24,4935.66
2021-03-31,3071.83
2021-04-07,105.39
2021-04-14,3284.16
2021-04-01,2875.49
2021-04-21,2340.79
2021-04-28,2493.66
2021-05-05,4716.91
2021-05-01,206.37
2021-05-12,4278.96
2021-05-19,2294.47
2021-05-26,1920.82
2021-06-01,4129.0
2021-06-02,2912.4
2021-06-09,2295.54
2021-06-16,3794.92
2021-06-23,2391.76
2021-06-30,2700.04
2021-07-07,2031.24
2021-07-14,4404.96
2021-07-01,4167.28
2021-07-21,355.42
2021-07-28,837.74
2021-08-04,241.21
