Date,Dogecoin Price
2020-01-01,4268.41
2020-01-08,1680.32
2020-01-15,4363.9
2020-01-22,532.67
2020-01-29,2660.42
2020-02-05,3899.1
2020-02-12,1846.22
2020-02-19,7.19
2020-02-01,1979.06
2020-02-26,470.36
2020-03-04,1733.05
2020-03-11,1986.94
2020-03-01,2202.18
2020-03-18,4374.44
2020-03-25,2391.52
2020-04-01,2925.24
2020-04-08,3692.44
2020-04-15,4948.99
2020-04-22,4283.34
2020-04-29,1263.09
2020-05-01,4592.36
2020-05-06,2700.11
2020-05-13,1768.96
2020-05-20,3491.58
2020-05-27,3832.87
2020-06-03,3891.07
2020-06-10,69.48
2020-06-17,3310.63
2020-06-01,2763.62
2020-06-24,4209.88
2020-07-01,858.65
2020-07-08,4419.99
2020-07-15,1231.67
2020-07-22,2677.89
2020-07-29,2313.88
2020-08-05,3540.75
2020-08-01,1640.71
2020-08-12,827.13
2020-08-19,1136.08
2020-08-26,1982.46
2020-09-01,288.86
2020-09-02,1242.65
2020-09-09,529.13
2020-09-16,4693.45
2020-09-23,396.29
2020-09-30,323.3
2020-10-07,1523.32
2020-10-14,2537.63
2020-10-01,2861.46
2020-10-21,2098.26
2020-10-28,4443.95
2020-11-04,25.62
2020-11-01,3218.17
2020-11-11,1526.67
2020-11-18,2319.25
2020-11-25,1863.34
2020-12-01,1731.18
2020-12-02,3129.97
2020-12-09,1851.23
2020-12-16,765.35
2020-12-23,1764.92
2020-12-30,4329.4
2021-01-06,4113.43
2021-01-13,2292.38
2021-01-01,3018.98
2021-01-20,2557.7
2021-01-27,2681.9
2021-02-03,1670.28
2021-02-01,2919.54
2021-02-10,4094.74
2021-02-17,1094.62
2021-02-24,3628.98
2021-03-01,151.59
2021-03-03,3486.02
2021-03-10,4535.88
2021-03-17,464.08
2021-03-24,2527.26
2021-03-31,2995.67
2021-04-07,2795.41
2021-04-14,4342.51
2021-04-01,848.31
2021-04-21,1234.43
2021-04-28,4831.58
2021-05-05,2150.55
2021-05-01,751.89
2021-05-12,205.66
2021-05-19,1839.44
2021-05-26,2472.6
2021-06-01,2501.18
2021-06-02,372.77
2021-06-09,1640.84
2021-06-16,4182.36
2021-06-23,895.75
2021-06-30,1729.47
2021-07-07,1728.3
2021-07-14,4407.13
2021-07-01,4404.68
2021-07-21,1752.57
2021-07-28,4027.13
2021-08-04,1646.35
