Date,Ethereum Price
2020-01-01,246.14
2020-01-08,3225.76
2020-01-15,3061.79
2020-01-22,4405.12
2020-01-29,4770.12
2020-02-05,4211.17
2020-02-12,2358.25
2020-02-19,1334.73
2020-02-01,3039.92
2020-02-26,92.77
2020-03-04,3599.84
2020-03-11,1099.76
2020-03-01,3684.23
2020-03-18,2423.56
2020-03-25,3223.47
2020-04-01,4087.53
2020-04-08,1519.94
2020-04-15,3093.32
2020-04-22,4086.69
2020-04-29,3686.88
2020-05-01,1474.63
2020-05-06,1179.49
2020-05-13,4160.56
2020-05-20,4701.27
2020-05-27,1168.23
2020-06-03,3618.79
2020-06-10,1878.86
2020-06-17,994.43
2020-06-01,4432.95
2020-06-24,1068.72
2020-07-01,269.92
2020-07-08,2696.33
2020-07-15,3624.6
2020-07-22,1572.26
2020-07-29,2305.3
2020-08-05,3528.62
2020-08-01,3751.21
2020-08-12,2063.12
2020-08-19,2600.82
2020-08-26,1502.12
2020-09-01,3310.33
2020-09-02,1592.85
2020-09-09,1824.53
2020-09-16,3304.45
2020-09-23,1412.14
2020-09-30,398.48
2020-10-07,2634.89
2020-10-14,611.1
2020-10-01,4556.44
2020-10-21,3277.76
2020-10-28,2820.94
2020-11-04,785.94
2020-11-01,4046.17
2020-11-11,2188.59
2020-11-18,4447.33
2020-11-25,3382.88
2020-12-01,1493.63
2020-12-02,4252.78
2020-12-09,177.21
2020-12-16,1442.94
2020-12-23,2228.64
2020-12-30,1528.02
2021-01-06,4812.46
2021-01-13,3756.49
2021-01-01,2620.58
2021-01-20,2395.74
2021-01-27,3692.08
2021-02-03,3029.61
2021-02-01,1516.59
2021-02-10,2373.15
2021-02-17,1445.7
2021-02-24,3806.13
2021-03-01,4440.96
2021-03-03,3767.72
2021-03-10,3412.6
2021-03-17,1651.38
2021-03-24,1946.48
2021-03-31,1957.48
2021-04-07,3873.0
2021-04-14,4788.02
2021-04-01,3940.4
2021-04-21,3024.26
2021-04-28,3883.91
2021-05-05,4623.43
2021-05-01,2688.35
2021-05-12,2198.52
2021-05-19,446.61
2021-05-26,909.32
2021-06-01,2718.47
2021-06-02,1838.93
2021-06-09,1867.57
2021-06-16,3133.52
2021-06-23,2683.96
2021-06-30,448.29
2021-07-07,2364.47
2021-07-14,2986.16
2021-07-01,4157.02
2021-07-21,2020.5
2021-07-28,1092.93
2021-08-04,3576.69
